order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	rate_per_km	cost_per_km	margin_per_km	year
23043	2025-08-05	SCOTTS CANADA LTD ST-LUDGER DE MILOSTT-BONAVENTURE 1,000.00CA 800.00 200.00 23044 06/08/2025	CAPMATIC DORVAL,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0					2025
23045	2025-08-06	SCOTTS CANADA LTD ST-LUDGER DE MILOSTT-BONAVENTURE 1,000.00CA 800.00 200.00 23046 07/08/2025	EMBALLAGES AT MIRABEL,PQ	NORMANDIN,PQ	825.0	692.78	132.22					2025
23052	2025-08-12	SCOTTS QUALI-GRO SAINT PAMPHILE,PQL'ORIGNAL,ON 1,250.00CA 1,000.00 250.00 23053 12/08/2025 SCOTTS CANADA LTD ST-LUDGER DE MILOSTT-BONAVENTURE 1,100.00CA 900.00 200.00 23054 13/08/2025 SCOTTS CANADA LTD ST-LUDGER DE MILOSTT-BONAVENTURE 1,100.00CA 900.00 200.00 23055 12/08/2025	THEATRIXX TECHNOLOGIES BURNABY,BC	TORONTO,ON	1695.0	1246.77	448.23					2025
23056	2025-08-12	LEGGI TRANSPORT BURNABY,BC RICHMOND,BC 0.00CA 250.00 -250.00 23058 13/08/2025	SCOTTS QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23059	2025-08-13	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23060	2025-08-13	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23075	2025-08-13	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23061	2025-08-14	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23072	2025-08-14	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23073	2025-08-14	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23074	2025-08-14	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23062	2025-08-15	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23063	2025-08-15	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23064	2025-08-18	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23065	2025-08-18	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23070	2025-08-18	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23081	2025-08-18	SCOTTS CANADA LTD ST-LUDGER DE MILOSTT-BONAVENTURE 1,100.00CA 900.00 200.00 23083 18/08/2025 SCOTTS CANADA LTD ST-LUDGER DE MILOSTT-BONAVENTURE 1,100.00CA 900.00 200.00 23084 20/08/2025 SCOTTS CANADA LTD MOBILE ,AL ST-BONAVENTURE 1,700.00CA 1,350.00 350.00 23085 19/08/2025	EMBALLAGES AT MIRABEL,PQ	REVELSTOKE,BC	1350.0	1175.0	175.0					2025
23066	2025-08-19	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23067	2025-08-19	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23071	2025-08-19	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23069	2025-08-20	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1350.0	1000.0	350.0					2025
23068	2025-08-21	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23086	2025-08-25	THEATRIXX TECHNOLOGIES ST-BRUNO DE MONTPAORWVEILLLLE,OH 825.00CA 657.57 167.43 23087 25/08/2025 SCOTTS CANADA LTD ST-LUDGER DE MILOSTT-BONAVENTURE 1,200.00CA 900.00 300.00 23088 25/08/2025 SCOTTS CANADA LTD ST-LUDGER DE MILOSTT-BONAVENTURE 1,200.00CA 900.00 300.00 23089 25/08/2025	SCOTTS QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23090	2025-08-25	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23101	2025-08-25	CAPMATIC BOUCHERVILLE,PQMONTREAL-NORD,PQ 275.00CA 160.00 115.00 23102 03/09/2025 CAPMATIC MONTREAL-NORD,PFQAIRFIELD,NJ 2,250.00CA 1,700.00 550.00 23103 04/09/2025 CAPMATIC MONTREAL-NORD,PFQAIRFIELD,NJ 2,250.00CA 1,700.00 550.00 23104 26/08/2025	SCOTTS DELHI DELHI,ON	MIRAMICHI,NB	1675.0	1400.0	275.0					2025
23091	2025-08-26	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23092	2025-08-26	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23093	2025-08-27	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23094	2025-08-27	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23096	2025-09-03	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23097	2025-09-03	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23095	2025-09-04	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23098	2025-09-04	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23099	2025-09-04	SCOTTS	QUALI-GRO MIRAMICHI,NB	L'ORIGNAL,ON	1500.0	1200.0	300.0					2025
23128	2025-09-11	SCOTTS CANADA LTD L'ORIGNAL,ON ST-BONAVENTURE 900.00CA 775.00 125.00 23129 10/09/2025 SCOTTS CANADA LTD L'ORIGNAL,ON ST-BONAVENTURE 900.00CA 775.00 125.00 23130 10/09/2025 SCOTTS CANADA LTD L'ORIGNAL,ON ST-BONAVENTURE 900.00CA 775.00 125.00 23131 12/09/2025	SCOTTS QUALI-GRO ST-HUBERT,PQ	L'ORIGNAL,ON	600.0	500.0	100.0					2025
