order_no	req_pu_date	customer	origin	destination	revenue	cost	margin	distance_km	revenue_per_km	cost_per_km	margin_per_km
22147	2024-05-14	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22148	2024-05-14	EMBALLAGES AT	LANDRIENNE,PQ	MIRABEL,PQ	1700.0	1500.0	200.0	524.3974424244166	3.2418	2.8604	0.3814
22149	2024-05-15	SCOTTS CANADA LTD	DELHI,ON	MIRAMICHI,NB	3350.0	3000.0	350.0	1514.446	2.212	1.9809	0.2311
22150	2024-05-22	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22151	2024-05-24	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22152	2024-05-21	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	250.0	145.0	105.0	18.765	13.3227	7.7272	5.5955
22153	2024-05-22	SCOTTS DELHI	DELHI,ON	MIRAMICHI,NB	3350.0	3000.0	350.0	1514.446	2.212	1.9809	0.2311
22154	2024-05-22	DEXTER	LONGUEUIL,PQ	MIRAMICHI,NB	1650.0	1375.0	275.0	805.501	2.0484	1.707	0.3414
22155	2024-05-28	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22156	2024-05-29	SCOTTS CANADA LTD			2400.0	2000.0	400.0				
22157	2024-05-30	SCOTTS CANADA LTD			2400.0	2100.0	300.0				
22158	2024-05-22	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	750.0	550.0	200.0	535.1762720094367	1.4014	1.0277	0.3737
22159	2024-05-23	DEXTER	LONGUEUIL,PQ	ST-ROMAIN,PQ	1175.0	947.24	227.76	220.9070504454267	5.319	4.288	1.031
22160	2024-05-24	SCOTTS CANADA LTD			975.0	800.0	175.0				
22161	2024-05-24	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	375.0	288.69	86.31	659.857	0.5683	0.4375	0.1308
22162	2024-05-23	SCOTTS DELHI	DELHI,ON	ROCKY VIEW,AB	850.0	650.0	200.0	3209.520166053831	0.2648	0.2025	0.0623
22163	2024-05-24	SCOTTS DELHI			1300.0	1000.0	300.0				
22164	2024-05-24	SCOTTS DELHI			1300.0	1000.0	300.0				
22165	2024-05-23	EMBALLAGES AT			875.0	800.0	75.0				
22166	2024-05-29	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22167	2024-05-30	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22168	2024-05-31	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22169	2024-05-27	CAPMATIC			285.0	160.0	125.0				
22170	2024-05-27	SCOTTS DELHI			1650.0	1650.0	0.0				
22171	2024-05-30	CAPMATIC			240.0	130.0	110.0				
22172	2024-05-30	CAPMATIC	TERREBONNE,PQ	MONTREAL-NORD,PQ	100.0	75.0	25.0	17.134237980667216	5.8363	4.3772	1.4591
22173	2024-05-29	SCOTTS DELHI			1150.0	900.0	250.0				
22174	2024-05-31	CAPMATIC			450.0	250.0	200.0				
22175	2024-06-03	CAPMATIC	DORVAL,PQ	MONTREAL-NORD,PQ	225.0	145.0	80.0	43.72	5.1464	3.3166	1.8298
22176	2024-06-15	THEATRIXX TECHNOLOGIES	LAS VEGAS,NV	MONTREAL,PQ	11900.0	10750.0	1150.0	4169.084	2.8543	2.5785	0.2758
22177	2024-06-03	SCOTTS CANADA LTD	MIRAMICHI,NB	BOUCHERVILLE,PQ	1450.0	1050.0	400.0	800.748	1.8108	1.3113	0.4995
22178	2024-06-06	SCOTTS CANADA LTD			1500.0	1100.0	400.0				
22179	2024-06-03	DEXTER	LONGUEUIL,PQ	DRUMMONDVILLE,PQ	850.0	600.0	250.0	93.291	9.1113	6.4315	2.6798
22180	2024-06-07	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22181	2024-06-04	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	225.0	130.0	95.0	18.765	11.9904	6.9278	5.0626
22182	2024-06-07	SCOTTS DELHI			397.07	328.07	69.0				
22183	2024-06-10	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22185	2024-06-14	SCOTTS CANADA LTD			1300.0	1100.0	200.0				
22186	2024-06-10	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	300.0	175.0	125.0	18.765	15.9872	9.3259	6.6613
22187	2024-06-10	ENGRAIS McINNES			1450.0	1100.0	350.0				
22188	2024-06-12	ENGRAIS McINNES			1450.0	1100.0	350.0				
22189	2024-06-13	CAPMATIC	LAREDO ,TX	MONTREAL-NORD,PQ	6150.0	4900.0	1250.0	3502.715	1.7558	1.3989	0.3569
22190	2024-06-12	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	550.0	397.99	152.01	738.0103549207273	0.7452	0.5393	0.206
22191	2024-06-17	SCOTTS CANADA LTD			1300.0	1000.0	300.0				
22192	2024-06-19	SCOTTS CANADA LTD			1500.0	1100.0	400.0				
22193	2024-06-13	SCOTTS DELHI			606.0	454.85	151.15				
22194	2024-06-13	SCOTTS CANADA LTD	MIRAMICHI,NB	DELHI,ON	895.0	682.68	212.32	1516.661	0.5901	0.4501	0.14
22195	2024-06-14	DEXTER	LONGUEUIL,PQ	DUNVEGAN,ON	850.0	600.0	250.0	127.79372187318452	6.6513	4.6951	1.9563
22196	2024-06-14	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22197	2024-06-14	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22198	2024-06-14	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22199	2024-06-18	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22200	2024-06-19	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1750.0	200.0	727.108	2.6819	2.4068	0.2751
22201	2024-06-18	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22202	2024-06-18	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22203	2024-06-19	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22204	2024-06-19	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22205	2024-06-19	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22206	2024-06-19	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22207	2024-06-17	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22208	2024-06-20	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22209	2024-06-20	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22210	2024-06-20	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22211	2024-06-20	SCOTTS DELHI	DELHI,ON	BOUCHERVILLE,PQ	1950.0	1600.0	350.0	727.108	2.6819	2.2005	0.4814
22212	2024-06-21	SCOTTS DELHI			2150.0	1775.0	375.0				
22213	2024-06-20	SCOTTS DELHI	DELHI,ON	MONCTON,NB	4275.0	4200.0	75.0	1553.6435942292167	2.7516	2.7033	0.0483
22214	2024-06-20	SCOTTS DELHI	DELHI,ON	SAINT JOHN,NB	4225.0	3400.0	825.0	1564.066	2.7013	2.1738	0.5275
22215	2024-06-21	SCOTTS DELHI			2150.0	1775.0	375.0				
22216	2024-06-21	SCOTTS DELHI			2150.0	1775.0	375.0				
22217	2024-06-21	SCOTTS DELHI			2150.0	1775.0	375.0				
22218	2024-06-20	DEXTER	LONGUEUIL,PQ	ST-VALÈRE,PQ	750.0	520.0	230.0	130.369	5.7529	3.9887	1.7642
22219	2024-06-21	SCOTTS DELHI	DELHI,ON	ROCKY VIEW,AB	1650.0	1250.0	400.0	3209.520166053831	0.5141	0.3895	0.1246
22220	2024-06-21	SCOTTS CANADA LTD	DELHI,ON	MIRAMICHI,NB	975.0	800.0	175.0	1514.446	0.6438	0.5282	0.1156
22221	2024-06-24	SCOTTS DELHI	DELHI,ON	VARENNES,PQ	1450.0	1100.0	350.0	735.936	1.9703	1.4947	0.4756
22222	2024-06-27	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	850.0	650.0	200.0	535.1762720094367	1.5883	1.2146	0.3737
22223	2024-06-28	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	275.0	160.0	115.0	18.765	14.6549	8.5265	6.1284
22224	2024-07-02	SCOTTS CANADA LTD	DELHI,ON	MIRAMICHI,NB	1750.0	1500.0	250.0	1514.446	1.1555	0.9905	0.1651
22225	2024-07-10	CAPMATIC			2475.0	1950.0	525.0				
22226	2024-07-08	DEXTER	LONGUEUIL,PQ	MONTMAGNY,PQ	925.0	700.0	225.0	330.1628075210577	2.8016	2.1202	0.6815
22227	2024-07-09	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22228	2024-07-11	CAPMATIC	LACHINE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	41.382	3.6248	2.4165	1.2083
22229	2024-07-12	SCOTTS CANADA LTD	LACHINE,PQ	DELHI,ON	675.0	500.0	175.0	738.0103549207273	0.9146	0.6775	0.2371
22230	2024-07-16	CAPMATIC			225.0	130.0	95.0				
22231	2024-07-16	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	275.0	160.0	115.0	18.765	14.6549	8.5265	6.1284
22232	2024-08-15	CAPMATIC			14939.09	14446.73	492.36				
22233	2024-07-16	ENGRAIS McINNES	STANSTEAD,PQ	GOWANSTOWN,PQ	1200.0	750.0	450.0	1020.9463989082464	1.1754	0.7346	0.4408
22234	2024-07-16	EMBALLAGES AT	MIRABEL,PQ	AMOS,PQ	750.0	550.0	200.0	535.1762720094367	1.4014	1.0277	0.3737
22235	2024-07-23	CAPMATIC			6000.0	4950.0	1050.0				
22236	2024-07-23	CAPMATIC			4750.0	4000.0	750.0				
22237	2024-07-17	DEXTER	LONGUEUIL,PQ	MONTMAGNY,PQ	1250.0	1000.0	250.0	330.1628075210577	3.786	3.0288	0.7572
22238	2024-07-18	CAPMATIC			2450.0	2000.0	450.0				
22239	2024-07-18	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857	2.6521	2.1974	0.4546
22240	2024-07-18	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1750.0	1450.0	300.0	659.857	2.6521	2.1974	0.4546
22241	2024-07-19	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	250.0	145.0	105.0	18.765	13.3227	7.7272	5.5955
22242	2024-07-25	CAPMATIC			2450.0	2000.0	450.0				
22243	2024-07-25	CAPMATIC			2450.0	2000.0	450.0				
22244	2024-07-26	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	18.765	7.9936	6.1284	1.8652
22245	2024-07-30	CAPMATIC			3400.0	2900.0	500.0				
22246	2024-07-31	CAPMATIC			4600.0	3800.0	800.0				
22247	2024-08-01	SCOTTS DELHI			1350.0	1100.0	250.0				
22248	2024-08-07	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22249	2024-08-08	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	18.765	7.9936	6.1284	1.8652
22250	2024-08-08	DEXTER			340.0	240.0	100.0				
22251	2024-08-12	SCOTTS DELHI			1350.0	1100.0	250.0				
22252	2024-08-13	SCOTTS DELHI			1350.0	1100.0	250.0				
22253	2024-08-14	SCOTTS DELHI			1350.0	1100.0	250.0				
22254	2024-08-09	DEXTER	LONGUEUIL,PQ	SAINT-ROBERT,PQ	250.0	175.0	75.0	74.42887524129485	3.3589	2.3512	1.0077
22255	2024-08-13	DEXTER			775.0	600.0	175.0				
22256	2024-08-13	DEXTER	LONGUEUIL,PQ	DRUMMONDVILLE,PQ	875.0	700.0	175.0	93.291	9.3793	7.5034	1.8759
22257	2024-08-14	CAPMATIC			150.0	115.0	35.0				
22258	2024-08-14	SCOTTS DELHI	DELHI,ON	L'ORIGNAL,ON	1300.0	1100.0	200.0	659.857	1.9701	1.667	0.3031
22259	2024-08-14	CAPMATIC	BOUCHERVILLE,PQ	MONTREAL-NORD,PQ	150.0	100.0	50.0	18.765	7.9936	5.3291	2.6645
22260	2024-08-14	EMBALLAGES AT	MIRABEL,PQ	SAINT-PAMPHILE,PQ	975.0	800.0	175.0	440.455	2.2136	1.8163	0.3973
22261	2024-08-16	CAPMATIC	ST-LAURENT,PQ	MONTREAL-NORD,PQ	150.0	115.0	35.0	16.2226435584249	9.2463	7.0889	2.1575
